"","Date","CharacterName","CharacterName1","CharacterName2","CharacterName3","Smiley","Rarity","MaxHP","Power","Damage_Range","Type","Target","L1","L2","L3","L4","L5","MAX","PowerName","AP","Color","Use","L1.AP","L2.AP","L3.AP","L4.AP","L5.AP","Tile_Convert_Active_Color","Tile_Convert_Source","Tile_Convert_Color","Tile_Charged_Color","Proc_On_Match","Proc_On_CD_Present","Proc_On_CD_Count","Proc_On_Damage","Proc_On_Ability_Use","Direct_Damage","Conditional_Damage","Possible_Damage","Defensive","Offensive","Team_Damage","Cheap","Moderately_Cheap","Moderately_Expensive","Expensive","Healing","Stun","Shake","Backfire","Convert_Tile_Color","Improve_Special_Tile","Manipulate_CD","Add_Strike_Tile","Add_Attack_Tile","Add_Protect_Tile","Add_Charged_Tile","Add_Critical_Tile","Add_Trap_Tile","Add_CD_Tile","Add_2_Turn_CD_Tile","Add_Web_Tile","Add_Locked_Tile","Add_Invis_Tile","Add_Special_Tile","Remove_Special_Tile","Steal_Special_Tile","Destroy_AP","Gain_AP","Steal_AP","Manipulate_AP"
"69","","Sam Wilson (Captain America)","Sam Wilson","Captain America","Falcon",":falcon:",4,13934,"SamWilson_P2","","improve",NA,22,29,29,41,82,258,"Aerial Avenger",0,"blue","passive","Inf","Inf","Inf","Inf","Inf","","","","","","","","","","no","no","","yes","yes","","","","","","","","","","","yes","yes","","","","","","","","","","","","","","","","","",""
"70","","Sam Wilson (Captain America)","Sam Wilson","Captain America","Falcon",":falcon:",4,13934,"SamWilson_P3_min","(min)","damage","target",559,783,1006,1453,2438,7346,"Dive Bomb",14,"red","active","39.9285714285714","55.9285714285714","71.8571428571429","103.785714285714","174.142857142857","","","","","","","","","","yes","yes","yes","","yes","","","","","yes","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","","Sam Wilson (Captain America)","Sam Wilson","Captain America","Falcon",":falcon:",4,13934,"SamWilson_P3_max","(max)","damage","target",643,901,1157,1671,2791,8455,"Dive Bomb",14,"red","active","45.9285714285714","64.3571428571429","82.6428571428571","119.357142857143","199.357142857143","","","","","","","","","","yes","yes","yes","","yes","","","","","yes","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","6/30/15","Ant-Man (Scott Lang)","Ant-Man","Scott Lang","Ant-Man",":antman:",4,14890,"AM_P1","","attack",NA,52,86,165,165,255,513,"Pym Particles",9,"purple","active","5.77777777777778","9.55555555555556","18.3333333333333","18.3333333333333","28.3333333333333","","","","","","","","","","no","no","yes","","yes","","","yes","","","","","","","","","","","yes","","","","yes","","","","","","yes","","","","","",""
"73","6/30/15","Ant-Man (Scott Lang)","Ant-Man","Scott Lang","Ant-Man",":antman:",4,14890,"AM_P2","","cd",NA,NA,NA,NA,NA,NA,NA,"Small Time Crooks",9,"blue","active","","","","","","","","","","","yes","","","","no","yes","yes","yes","yes","","","yes","","","","","","","","","","","","","","","","yes","yes","","","","","","yes","","","",""
"74","6/30/15","Ant-Man (Scott Lang)","Ant-Man","Scott Lang","Ant-Man",":antman:",4,14890,"AM_P3a","","cd",NA,NA,NA,NA,NA,NA,NA,"Ants! Ants! Ants!",7,"yellow","active","","","","","","","","","","","yes","yes","","","no","yes","yes","","yes","","yes","","","","","","","","","","","","","","","","","yes","yes","","","","","","","","","",""
"75","6/30/15","Ant-Man (Scott Lang)","Ant-Man","Scott Lang","Ant-Man",":antman:",4,14890,"AM_P3a","","damage","target",138,207,291,388,665,1305,"Ants! Ants! Ants!",7,"yellow","active","19.7142857142857","29.5714285714286","41.5714285714286","55.4285714285714","95","","","","","","yes","yes","","","no","yes","yes","","yes","","yes","","","","","","","","","","","","","","","","","","yes","","","","","","","","","",""
"76","6/30/15","Ant-Man (Scott Lang)","Ant-Man","Scott Lang","Ant-Man",":antman:",4,14890,"AM_P3b","","strike",NA,69,84,96,148,230,450,"Ants! Ants! Ants!",7,"yellow","active","9.85714285714286","12","13.7142857142857","21.1428571428571","32.8571428571429","","","","","","","","","","no","yes","yes","","yes","","yes","","","","","","","","","","","yes","","","","","","","","","","","yes","","","","","",""
"77","6/30/15","Ant-Man (Scott Lang)","Ant-Man","Scott Lang","Ant-Man",":antman:",4,14890,"AM_P4","","damage","target",1233,1726,2219,3206,5179,10261,"Grow",9,"blue","active","137","191.777777777778","246.555555555556","356.222222222222","575.444444444444","","","","","","yes","","","","yes","yes","yes","","yes","","","yes","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78","6/30/15","Ant-Man (Scott Lang)","Ant-Man","Scott Lang","Ant-Man",":antman:",4,14890,"AM_P4","","damage","target",1233,1726,2219,3206,5179,10261,"Grow",9,"purple","active","137","191.777777777778","246.555555555556","356.222222222222","575.444444444444","","","","","","yes","","","","yes","yes","yes","","yes","","","yes","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","6/2/15","Carnage (Cletus Kasady)","Carnage","Cletus Kasady","Carnage",":carnage:",4,15573,"Carnage_P1a","","damage","target",603,840,1069,1553,2476,4903,"Symbiote Scythes",7,"red","active","86.1428571428571","120","152.714285714286","221.857142857143","353.714285714286","","","","","","","","","","yes","no","yes","","yes","","yes","","","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"80","6/2/15","Carnage (Cletus Kasady)","Carnage","Cletus Kasady","Carnage",":carnage:",4,15573,"Carnage_P1b","","damage","team",320,411,503,731,914,1808,"Symbiote Scythes",7,"red","active","45.7142857142857","58.7142857142857","71.8571428571429","104.428571428571","130.571428571429","","","","","","","","","","yes","no","yes","","yes","yes","yes","","","","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"81","6/2/15","Carnage (Cletus Kasady)","Carnage","Cletus Kasady","Carnage",":carnage:",4,15573,"Carnage_P2","","attack",NA,94,100,104,116,140,274,"Alien Instincts",0,"black","passive","Inf","Inf","Inf","Inf","Inf","","","","","","","","","","no","yes","yes","","yes","","","","","","","","","yes","","","","","yes","","","","","","","","","","yes","","","","","",""
"82","6/2/15","Carnage (Cletus Kasady)","Carnage","Cletus Kasady","Carnage",":carnage:",4,15573,"Carnage_P3_min","(min)","damage","target",228,228,228,283,328,651,"Carnage Rules",11,"green","active","20.7272727272727","20.7272727272727","20.7272727272727","25.7272727272727","29.8181818181818","","","","","","","","","","yes","yes","yes","","yes","","","","yes","yes","","","yes","","","","","","","","","","","","","","","","","","","","","",""
"83","6/2/15","Carnage (Cletus Kasady)","Carnage","Cletus Kasady","Carnage",":carnage:",4,15573,"Carnage_P3_max","(max)","damage","target",1368,1824,2280,3396,5248,10416,"Carnage Rules",11,"green","active","124.363636363636","165.818181818182","207.272727272727","308.727272727273","477.090909090909","","","","","","","","","","yes","yes","yes","","yes","","","","yes","yes","","","yes","","","","","","","","","","","","","","","","","","","","","",""
"84","","Iron Man (Hulkbuster)","Iron Man","Hulkbuster","Iron Man",":ironman:",4,17810,"IMHB_P1","","damage","target",684,954,1233,1782,2871,5670,"Repulsor Punch",9,"red","active","76","106","137","198","319","","","","","","","","","","yes","yes","yes","","yes","","","yes","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85","","Iron Man (Hulkbuster)","Iron Man","Hulkbuster","Iron Man",":ironman:",4,17810,"IMHB_P2","","strike",NA,128,184,184,244,356,708,"Overdrive",9,"black","active","14.2222222222222","20.4444444444444","20.4444444444444","27.1111111111111","39.5555555555556","","","","","","","","","","no","yes","yes","","yes","","","yes","","","","","","yes","","","","yes","","","","","","","","","","","yes","","","","yes","","yes"
"86","","Iron Man (Hulkbuster)","Iron Man","Hulkbuster","Iron Man",":ironman:",4,17810,"IMHB_P3a","","convert",NA,4,4,5,5,7,7,"Hulk-Proof",9,"blue","active","0.444444444444444","0.444444444444444","0.555555555555556","0.555555555555556","0.777777777777778","blue","green","red","","","","","","","no","no","","","yes","","","yes","","","","","","","yes","","","","","","","","","","","","","","","","","","","",""
"87","","Iron Man (Hulkbuster)","Iron Man","Hulkbuster","Iron Man",":ironman:",4,17810,"IMHB_P3b","","protect",NA,18,36,36,54,108,216,"Hulk-Proof",9,"blue","active","2","4","4","6","12","","","","","","","","","","no","no","","yes","yes","","","yes","","","","","","","yes","","","","","yes","","","","","","","","","yes","","","","","",""
"88","","Kingpin (Wilson Fisk)","Kingpin","Wilson Fisk","Kingpin",":kingpin:",4,15618,"KP_P1_min","(min)","damage","target",448,538,627,806,1165,2309,"Wilson's Gambit",6,"black","active","74.6666666666667","89.6666666666667","104.5","134.333333333333","194.166666666667","","","","","","","","","","yes","yes","yes","","yes","","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89","","Kingpin (Wilson Fisk)","Kingpin","Wilson Fisk","Kingpin",":kingpin:",4,15618,"KP_P1_max","(max)","damage","target",1224,1399,1581,1939,2655,5268,"Wilson's Gambit",6,"black","active","204","233.166666666667","263.5","323.166666666667","442.5","","","","","","","","","","yes","yes","yes","","yes","","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","","Kingpin (Wilson Fisk)","Kingpin","Wilson Fisk","Kingpin",":kingpin:",4,15618,"KP_P2","","AP",NA,NA,NA,NA,NA,NA,NA,"The Fisk Defense",8,"purple","active","","","","","","","","","","","","","","","no","no","","yes","yes","","","yes","","","","","","","","","","","","","","","","","","","","","","","","yes","yes","","yes"
"91","","Kingpin (Wilson Fisk)","Kingpin","Wilson Fisk","Kingpin",":kingpin:",4,15618,"KP_P3a","","cd",NA,NA,NA,NA,NA,NA,NA,"Maggia Pawns",10,"yellow","active","","","","","","","","","","","","yes","","","no","yes","yes","","yes","","","","yes","","","","","","","","","yes","","","","","","yes","yes","","","","yes","","","","","",""
"92","","Kingpin (Wilson Fisk)","Kingpin","Wilson Fisk","Kingpin",":kingpin:",4,15618,"KP_P3a","","damage","target",1462,2193,2193,2193,3746,4534,"Maggia Pawns",10,"yellow","active","146.2","219.3","219.3","219.3","374.6","","","","","","","yes","","","no","yes","yes","","yes","","","","yes","","","","","","","","","yes","","","","","","","yes","","","","yes","","","","","",""
"93","","Devil Dinosaur (Gigantic Reptile)","Devil Dinosaur","Gigantic Reptile","Devil Dinosaur",":devildino:",4,19180,"DDino_P1","","damage","target",301,421,542,783,1264,2512,"Prehistoric Bite",7,"green","active","43","60.1428571428571","77.4285714285714","111.857142857143","180.571428571429","","","","","","","","","","yes","no","yes","","yes","","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94","","Devil Dinosaur (Gigantic Reptile)","Devil Dinosaur","Gigantic Reptile","Devil Dinosaur",":devildino:",4,19180,"DDino_P2","","damage","target",301,421,542,783,1264,2512,"Prehistoric Chomp",7,"red","active","43","60.1428571428571","77.4285714285714","111.857142857143","180.571428571429","","","","","","","","","","yes","no","yes","","yes","","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","","Devil Dinosaur (Gigantic Reptile)","Devil Dinosaur","Gigantic Reptile","Devil Dinosaur",":devildino:",4,19180,"DDino_P3","",NA,NA,NA,NA,NA,NA,NA,NA,"Prehistoric Arms",3,"purple","active","","","","","","","","","","","","","","","no","no","","","","","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","","Elektra (Unkillable)","Elektra","Unkillable","Elektra",":elektra:",4,13974,"Elektra_P1","","improve",NA,73,110,146,186,369,735,"Double-Double Cross",7,"purple","active","10.4285714285714","15.7142857142857","20.8571428571429","26.5714285714286","52.7142857142857","","","","","","","","","","no","yes","yes","yes","yes","","yes","","","","","","","","","","","","","","","","","","","","","","","","yes","","","",""
"97","","Elektra (Unkillable)","Elektra","Unkillable","Elektra",":elektra:",4,13974,"Elektra_P2","","damage","target",274,274,310,310,466,925,"Shadow Step",10,"black","active","27.4","27.4","31","31","46.6","","","","","","","","","","no","yes","yes","","","","","","yes","","","","","","","","","","","","","","yes","","","","","","","","","","","",""
"98","","Elektra (Unkillable)","Elektra","Unkillable","Elektra",":elektra:",4,13974,"Elektra_P3","","damage","target",150,210,270,390,630,1247,"Ballet of Death",8,"red","active","18.75","26.25","33.75","48.75","78.75","","","","","","","","","","no","yes","yes","","yes","","","yes","","","","","","","","","","","","","","","yes","","","","","","","","","","","",""
"99","","Invisible Woman (Classic)","Invisible Woman","Classic","Invisible Woman",":invisiblewoman:",4,13015,"IW_P1","","protect",NA,0,50,100,184,368,736,"Grant Invisibility",9,"yellow","active","0","5.55555555555556","11.1111111111111","20.4444444444444","40.8888888888889","","","","","","","","","","no","no","","yes","","","","yes","","","","","","","","","","","","yes","","","","","","","","yes","yes","","","","","",""
"100","","Invisible Woman (Classic)","Invisible Woman","Classic","Invisible Woman",":invisiblewoman:",4,13015,"IW_P2","","protect",NA,64,86,86,107,127,252,"Force Bubbles",7,"blue","active","9.14285714285714","12.2857142857143","12.2857142857143","15.2857142857143","18.1428571428571","","","","","","","","","","no","no","","yes","","","yes","","","","","","","","","","","","","yes","","","","","","","yes","","yes","","","","","",""
"101","","Invisible Woman (Classic)","Invisible Woman","Classic","Invisible Woman",":invisiblewoman:",4,13015,"IW_P3","","damage","target",128,566,1006,1509,3210,6369,"Force Field Crush",12,"green","active","10.6666666666667","47.1666666666667","83.8333333333333","125.75","267.5","","","","","","","","","","no","yes","yes","","yes","","","","","yes","","","yes","","","","","","","","","","","","","","","","","","","","","",""
"102","","Nick Fury (Director of S.H.I.E.L.D.)","Nick Fury","Director of S.H.I.E.L.D.","Nick Fury",":nickfury:",4,13015,"NF_P1","","damage","target",0,1370,1370,1370,1370,2720,"Avengers Assemble!",12,"yellow","active","0","114.166666666667","114.166666666667","114.166666666667","114.166666666667","","","","","","","","","","no","yes","yes","yes","yes","","","","","yes","","yes","","","","","","","","yes","","yes","","","","","","","yes","","","","","",""
"103","","Nick Fury (Director of S.H.I.E.L.D.)","Nick Fury","Director of S.H.I.E.L.D.","Nick Fury",":nickfury:",4,13015,"NF_P1","","damage","team",0,0,0,0,685,1360,"Avengers Assemble!",12,"yellow","active","0","0","0","0","57.0833333333333","","","","","","","","","","no","yes","yes","yes","yes","yes","","","","yes","","yes","","","","","","","","yes","","yes","","","","","","","yes","","","","","",""
"104","","Nick Fury (Director of S.H.I.E.L.D.)","Nick Fury","Director of S.H.I.E.L.D.","Nick Fury",":nickfury:",4,13015,"NF_P2","","damage","target",696,1044,1392,1740,2436,10535,"Demolition",10,"blue","active","69.6","104.4","139.2","174","243.6","","","","","","","","","","no","yes","yes","","yes","","","","yes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105","","Nick Fury (Director of S.H.I.E.L.D.)","Nick Fury","Director of S.H.I.E.L.D.","Nick Fury",":nickfury:",4,13015,"NF_P3","","damage","target",210,210,882,882,882,3238,"Escape Plan",12,"purple","active","17.5","17.5","73.5","73.5","73.5","","","","","","","","","","yes","no","yes","yes","yes","","","","","yes","","","","","","","","yes","","","","","","","","","","","yes","","","yes","yes","yes","yes"
"106","","Professor X (Charles Xavier)","Professor X","Charles Xavier","Professor X",":professorx:",4,9590,"PX_P1","","damage","target",941,1317,1430,2070,2221,4408,"Master Plan",0,"blue","passive","Inf","Inf","Inf","Inf","Inf","","","","","","","","","","yes","yes","yes","","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","yes","","yes"
"107","","Professor X (Charles Xavier)","Professor X","Charles Xavier","Professor X",":professorx:",4,9590,"PX_P3","","strike",NA,0,0,0,0,41,82,"Psychic Convergence",0,"yellow","passive","Inf","Inf","Inf","Inf","Inf","","","","","","","","","yes","no","yes","yes","yes","yes","","","","","","","","","","","yes","","yes","","","","","","","","","","","yes","","","","","",""
"108","","Professor X (Charles Xavier)","Professor X","Charles Xavier","Professor X",":professorx:",4,9590,"PX_P3","","protect",NA,21,29,37,37,37,75,"Psychic Convergence",0,"yellow","passive","Inf","Inf","Inf","Inf","Inf","","","","","","","","","yes","no","yes","yes","yes","yes","","","","","","","","","","","yes","","","","yes","","","","","","","","","yes","","","","","",""
"109","","Professor X (Charles Xavier)","Professor X","Charles Xavier","Professor X",":professorx:",4,9590,"PX_P3","","attack",NA,0,0,0,27,27,54,"Psychic Convergence",0,"yellow","passive","Inf","Inf","Inf","Inf","Inf","","","","","","","","","yes","no","yes","yes","yes","yes","","","","","","","","","","","yes","","","yes","","","","","","","","","","yes","","","","","",""
"110","","Professor X (Charles Xavier)","Professor X","Charles Xavier","Professor X",":professorx:",4,9590,"PX_P2","","improve",NA,0,58,118,240,484,952,"Blind Spot",7,"purple","active","0","8.28571428571429","16.8571428571429","34.2857142857143","69.1428571428571","","","","","yes","yes","","","","no","yes","yes","yes","yes","","yes","","","","","","","","","","","yes","yes","yes","","","","","","","","yes","yes","","","","","",""
"111","","Star-Lord (Legendary Outlaw)","Star-Lord","Legendary Outlaw","Star-Lord",":starlord:",4,13974,"SL_P1a","","cd",NA,NA,NA,NA,NA,NA,NA,"Sleight of Hand",10,"purple","active","","","","","","","","","","","","yes","","","no","yes","yes","","yes","","","","yes","","","","","","","","","","","","","","","yes","yes","","","","","","","","","",""
"112","","Star-Lord (Legendary Outlaw)","Star-Lord","Legendary Outlaw","Star-Lord",":starlord:",4,13974,"SL_P1a","","damage","target",785,1350,1915,2049,3235,6424,"Sleight of Hand",10,"purple","active","78.5","135","191.5","204.9","323.5","","","","","","","yes","","","no","yes","yes","","yes","","","","yes","","","","","","","","","","","","","","","yes","yes","","","","","","","","","",""
"113","","Star-Lord (Legendary Outlaw)","Star-Lord","Legendary Outlaw","Star-Lord",":starlord:",4,13974,"SL_P2","","cd",NA,NA,NA,NA,NA,NA,NA,"Everyone With Me",7,"yellow","active","","","","","","","","","","","yes","","","","no","no","","","yes","","yes","","","","","","","","","","","","","","","","","yes","yes","","","","","","","","","",""
"114","","Star-Lord (Legendary Outlaw)","Star-Lord","Legendary Outlaw","Star-Lord",":starlord:",4,13974,"SL_P3a","","cd",NA,NA,NA,NA,NA,NA,NA,"Oldest Trick in the Book",8,"red","active","","","","","","","","","","","yes","","","","no","yes","yes","","yes","","","yes","","","","","","","","","","","","","","","","yes","yes","","","","","","","","","",""
"115","","Star-Lord (Legendary Outlaw)","Star-Lord","Legendary Outlaw","Star-Lord",":starlord:",4,13974,"SL_P3a","","damage","target",612,802,802,1897,3525,6998,"Oldest Trick in the Book",8,"red","active","76.5","100.25","100.25","237.125","440.625","","","","","","yes","yes","","","no","yes","yes","","yes","","","yes","","","","","","","","","","","","","","","","yes","yes","","","","","","","","","",""
"116","","The Thing (Classic)","The Thing","Classic","The Thing",":thing:",4,17759,"Thing_P1","","damage","target",347,667,986,1178,2465,4888,"It's Clobberin' Time!",10,"red","active","34.7","66.7","98.6","117.8","246.5","","","","","","","","","","yes","no","yes","yes","yes","","","","yes","","","yes","","","","","","","","","","","","","","","","","","","","","","",""
"117","","The Thing (Classic)","The Thing","Classic","The Thing",":thing:",4,17759,"Thing_P2","","protect",NA,274,402,438,584,915,1805,"Rock Solid",0,"yellow","passive","Inf","Inf","Inf","Inf","Inf","","","","","","","","yes","","no","no","","yes","","","","","","","","","","","","","","","","yes","","","","","","","","","yes","","","","","",""
"118","","The Thing (Classic)","The Thing","Classic","The Thing",":thing:",4,17759,"Thing_P3","","damage","target",722,1069,1069,1654,3080,6100,"Yancy Street Special",12,"green","active","60.1666666666667","89.0833333333333","89.0833333333333","137.833333333333","256.666666666667","","","","","","","","","","yes","no","yes","","yes","","","","","yes","","","yes","","","","","","","","","","","","","","","","","","","","","",""
"119","","Thor (Goddess of Thunder)","Thor","Goddess of Thunder","Thor",":thor:",4,17262,"TGoT_P1_min","(min)","damage","target",630,886,1023,1324,2027,4025,"Smite",10,"red","active","63","88.6","102.3","132.4","202.7","","","","any","","","","","","yes","yes","yes","","yes","","","","yes","","","","","","","","","","","","yes","","","","","","","","","","","","","",""
"120","","Thor (Goddess of Thunder)","Thor","Goddess of Thunder","Thor",":thor:",4,17262,"TGoT_P1_max","(max)","damage","target",1315,1801,2118,2784,3852,7650,"Smite",10,"red","active","131.5","180.1","211.8","278.4","385.2","","","","any","","","","","","yes","yes","yes","","yes","","","","yes","","","","","","","","","","","","yes","","","","","","","","","","","","","",""
"121","","Thor (Goddess of Thunder)","Thor","Goddess of Thunder","Thor",":thor:",4,17262,"TGoT_P2","","damage","team",356,402,402,739,1086,2157,"Striking Distance",12,"yellow","active","29.6666666666667","33.5","33.5","61.5833333333333","90.5","","","","any","","","","","","yes","no","yes","yes","yes","yes","","","","yes","","","","","","","","","","","yes","","","","","","","","","yes","","","","",""
"122","","Thor (Goddess of Thunder)","Thor","Goddess of Thunder","Thor",":thor:",4,17262,"TGoT_P3","",NA,NA,NA,NA,NA,NA,NA,NA,"Power Surge",9,"blue","active","","","","","","","","","red,blue,yellow","","","","","","no","no","","yes","","","","yes","","","","yes","","","","","","","","","yes","","","","","","","","","","","","","",""
"123","","Wolverine (X-Force)","Wolverine","X-Force","Wolverine",":wolverine:",4,10960,"XF_P1","","damage","target",137,183,183,548,685,1360,"X-Force",8,"green","active","17.125","22.875","22.875","68.5","85.625","","","","","","","","","","yes","no","yes","","yes","","","yes","","","","","yes","","","","","","","","","","","","","","","","","","","","","",""
"124","","Wolverine (X-Force)","Wolverine","X-Force","Wolverine",":wolverine:",4,10960,"XF_P2_avg","(avg)","damage","target",495,864,1242,2025,3546,7029,"Surgical Strike",11,"black","active","45","78.5454545454545","112.909090909091","184.090909090909","322.363636363636","","","","","","","","","","yes","yes","yes","","yes","","","","yes","yes","","","yes","","","","","","","","","","","","","","","","","","","","","",""
"125","","Wolverine (X-Force)","Wolverine","X-Force","Wolverine",":wolverine:",4,10960,"XF_P3","","damage","target",330,552,828,1212,1818,3600,"Recovery",9,"yellow","active","36.6666666666667","61.3333333333333","92","134.666666666667","202","","","","","","","","","","no","yes","yes","","yes","","","yes","","","","","yes","","","","","","","","","","","","","","","","","","","","","",""
"126","","Beast (Classic)","Beast","Classic","Beast",":beast:",3,8670,"Beast_P1","","cd",NA,NA,NA,NA,NA,NA,NA,"Mutagenic Breakthrough",6,"blue","active","","","","","","","","","","","","yes","","","no","yes","yes","yes","yes","","yes","","","","","","","","","","","yes","yes","yes","","","","yes","yes","","","","yes","","","","","",""
"127","","Beast (Classic)","Beast","Classic","Beast",":beast:",3,8670,"Beast_P2_min","(min)","damage","team",192,219,219,246,246,780,"Animal Inside",9,"green","active","21.3333333333333","24.3333333333333","24.3333333333333","27.3333333333333","27.3333333333333","","","","","","","","","","yes","yes","yes","","yes","yes","","yes","","","","","yes","","","","","","","","","","","","","","","","","","","","","",""
"128","","Beast (Classic)","Beast","Classic","Beast",":beast:",3,8670,"Beast_P2_max","(max)","damage","target",291,318,417,444,642,2028,"Animal Inside",9,"green","active","32.3333333333333","35.3333333333333","46.3333333333333","49.3333333333333","71.3333333333333","","","","","","","","","","yes","yes","yes","","yes","","","yes","","","","","yes","","","","","","","","","","","","","","","","","","","","","",""
"129","","Beast (Classic)","Beast","Classic","Beast",":beast:",3,8670,"Beast_P3a","","protect",NA,88,88,102,110,165,522,"Medical Marvel",11,"yellow","active","8","8","9.27272727272727","10","15","","","","","","","","","","no","no","","yes","","","","","yes","yes","","","","","","","","","","yes","","","","","","","","","yes","","","","","",""
"130","","Beast (Classic)","Beast","Classic","Beast",":beast:",3,8670,"Beast_P3b","","heal","team",383,490,490,689,689,2191,"Medical Marvel",11,"yellow","active","34.8181818181818","44.5454545454545","44.5454545454545","62.6363636363636","62.6363636363636","","","","","","","","","","no","no","","yes","","","","","yes","yes","yes","","","","","","","","","","","","","","","","","","","","","","","",""
"131","","Black Panther (T'Challa)","Black Panther","T'Challa","Black Panther",":blackpanther:",3,9690,"BP_P1_min","(min)","strike",NA,66,84,90,117,165,525,"Battleplan",9,"yellow","active","7.33333333333333","9.33333333333333","10","13","18.3333333333333","","","","","","","","","","no","yes","yes","","yes","","","yes","","","","","","","","","","yes","","","","","","","","","","","yes","","","","","",""
"132","","Black Panther (T'Challa)","Black Panther","T'Challa","Black Panther",":blackpanther:",3,9690,"BP_P1_max","(max)","strike",NA,99,117,132,165,249,780,"Battleplan",9,"yellow","active","11","13","14.6666666666667","18.3333333333333","27.6666666666667","","","","","","","","","","no","yes","yes","","yes","","","yes","","","","","","","","","","yes","","","","","","","","","","","yes","","","","","",""
"133","","Black Panther (T'Challa)","Black Panther","T'Challa","Black Panther",":blackpanther:",3,9690,"BP_P2","","cd",NA,NA,NA,NA,NA,NA,NA,"Defense Grid",8,"blue","active","","","","","","","","","","","","yes","","","no","no","","yes","","","","yes","","","","","","","","","","","","yes","","","","yes","yes","","","","yes","","","","","",""
"134","","Black Panther (T'Challa)","Black Panther","T'Challa","Black Panther",":blackpanther:",3,9690,"BP_P3","","damage","team",194,272,349,427,504,3708,"Rage of the Panther",12,"black","active","16.1666666666667","22.6666666666667","29.0833333333333","35.5833333333333","42","","","","","","","","","","yes","no","yes","","yes","yes","","","","yes","","","","yes","","","","","","","","","","","","","","","","","","","","",""
"135","","Black Widow (Grey Suit)","Black Widow","Grey Suit","Black Widow",":blackwidow:",3,8075,"GSBW_P1","","damage","team",355,443.75,443.75,554.625,554.625,3912,"Sniper Rifle",15,"green","active","23.6666666666667","29.5833333333333","29.5833333333333","36.975","36.975","","","","","","","","","","yes","no","yes","","yes","yes","","","","yes","","","yes","","","","","","","","","","","","","","","","","","","","","",""
"136","","Black Widow (Grey Suit)","Black Widow","Grey Suit","Black Widow",":blackwidow:",3,8075,"GSBW_P2","","damage","target",118,118,118,118,118,NA,"Pistol",12,"red","active","9.83333333333333","9.83333333333333","9.83333333333333","9.83333333333333","9.83333333333333","","","","","","","","","","yes","no","yes","","yes","","","","","yes","","","yes","","","","","","","","","","","","","","","","","","","","","",""
"137","","Black Widow (Grey Suit)","Black Widow","Grey Suit","Black Widow",":blackwidow:",3,8075,"GSBW_P3","","convert",NA,2,3,4,5,6,6,"Deceptive Tactics",11,"purple","active","0.181818181818182","0.272727272727273","0.363636363636364","0.454545454545455","0.545454545454545","purple","basic","green","","","","","","","no","no","","","yes","","","","yes","yes","","","","","yes","","","","","","","","","","","","","","","","","","","",""
"138","","Blade (Daywalker)","Blade","Daywalker","Blade",":blade:",3,8670,"Blade_P1","","damage","target",257,344,344,427,591,1877,"Nightstalker",8,"black","active","32.125","43","43","53.375","73.875","","","","","","yes","","","","yes","no","yes","yes","yes","","","yes","","","","","","","","","","","","","","","","yes","yes","","","","","","","yes","yes","yes","yes"
"139","","Blade (Daywalker)","Blade","Daywalker","Blade",":blade:",3,8670,"Blade_P2_min","(min)","attack",NA,60,60,82,82,120,240,"Keep Your Enemies Closer",10,"purple","active","6","6","8.2","8.2","12","","","","","","","","","","no","yes","yes","","yes","","","","yes","","","","","","","","","","yes","","","","","","","","","","yes","","","","","",""
"140","","Blade (Daywalker)","Blade","Daywalker","Blade",":blade:",3,8670,"Blade_P2_max","(max)","attack",NA,192,192,214,280,318,438,"Keep Your Enemies Closer",10,"purple","active","19.2","19.2","21.4","28","31.8","","","","","","","","","","no","yes","yes","","yes","","","","yes","","","","","","","","","","yes","","","","","","","","","","yes","","","","","",""
"141","","Blade (Daywalker)","Blade","Daywalker","Blade",":blade:",3,8670,"Blade_P3","","strike",NA,20,20,24,28,36,116,"The Thirst",0,"green","passive","Inf","Inf","Inf","Inf","Inf","","","","","","","","","","no","yes","yes","","yes","","","","","","","","","","","","","yes","","","","","","","","","","","yes","","","","","",""
"142","","Bullseye (Classic)","Bullseye","Classic","Bullseye",":bullseye:",3,7565,"Bullseye3_P1","","damage","target",246,327,415,585,924,2936,"Lethal Improvisation",7,"purple","active","35.1428571428571","46.7142857142857","59.2857142857143","83.5714285714286","132","","","","","","","","","","no","yes","yes","yes","yes","","yes","","","","","","","","","","","","","","","","","","","","","","","yes","","","","",""
